unique_id,ds,NLinear,actual,unique_id,ds,DLinear,actual,unique_id,ds,NBEATS,NHITS,actual,unique_id,ds,Informer,Autoformer,VanillaTransformer,actual
1,2022-12-29,9.644386,4,1,2022-12-29,6.40699,4,1,2022-12-29,9.946844,10.082873,4,1,2022-12-29,3.702776,8.592381,7.031222,4
1,2022-12-30,8.229264,7,1,2022-12-30,8.594824,7,1,2022-12-30,9.766924,10.147665,7,1,2022-12-30,3.033804,8.693191,7.025981,7
1,2022-12-31,10.720547,4,1,2022-12-31,6.897336,4,1,2022-12-31,9.625983,10.125145,4,1,2022-12-31,3.732024,8.829071,7.028277,4
1,2023-01-01,8.442855,10,1,2023-01-01,6.525629,10,1,2023-01-01,9.653007,10.188147,10,1,2023-01-01,3.997203,8.492288,7.033778,10
1,2023-01-02,11.3745,2,1,2023-01-02,10.523058,2,1,2023-01-02,9.661227,10.025701,2,1,2023-01-02,3.996282,8.278622,7.033821,2
1,2023-01-03,9.840383,19,1,2023-01-03,7.464306,19,1,2023-01-03,9.935568,9.890121,19,1,2023-01-03,3.998022,8.329691,7.031327,19
1,2023-01-04,13.171872,7,1,2023-01-04,9.870363,7,1,2023-01-04,9.478832,9.900259,7,1,2023-01-04,3.999844,8.007128,7.030368,7
1,2023-01-05,12.625779,3,1,2023-01-05,8.371506,3,1,2023-01-05,9.714008,10.192157,3,1,2023-01-05,4.002641,8.419081,7.031541,3
1,2023-01-06,5.291826,2,1,2023-01-06,6.950404,2,1,2023-01-06,9.636854,9.807561,2,1,2023-01-06,4.003152,7.98848,7.039636,2
1,2023-01-07,6.555897,5,1,2023-01-07,8.115038,5,1,2023-01-07,9.823099,9.97917,5,1,2023-01-07,3.996006,7.634654,7.039758,5
1,2022-12-12,12.225531,6,1,2022-12-12,8.096812,6,1,2022-12-12,7.291854,8.110002,6,1,2022-12-12,3.343338,8.226832,6.935235,6
1,2022-12-13,9.516273,2,1,2022-12-13,7.111739,2,1,2022-12-13,7.633294,7.785532,2,1,2022-12-13,3.314684,8.330584,7.023948,2
1,2022-12-14,8.443211,4,1,2022-12-14,9.723409,4,1,2022-12-14,7.267588,8.035332,4,1,2022-12-14,3.412567,8.498264,7.029262,4
